HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 30.5 MB/s
Transfer Rate Maximum : 71.1 MB/s
Transfer Rate Average : 51.3 MB/s
Position 	Transfer Rate
0.1 %	0.37 ms
0.1 %	8.07 ms
0.4 %	0.27 ms
0.4 %	9.29 ms
0.4 %	0.52 ms
0.5 %	17.88 ms
0.6 %	7.43 ms
0.6 %	8.63 ms
0.7 %	0.52 ms
0.8 %	0.25 ms
0.9 %	7.34 ms
0.9 %	17.61 ms
0.9 %	0.45 ms
1.1 %	8.67 ms
1.2 %	11.72 ms
1.3 %	0.47 ms
1.3 %	0.41 ms
1.4 %	19.35 ms
1.4 %	15.53 ms
1.4 %	13.04 ms
1.5 %	0.39 ms
1.6 %	11.38 ms
1.9 %	0.56 ms
2.1 %	11.29 ms
2.1 %	0.29 ms
2.1 %	0.36 ms
2.2 %	0.44 ms
2.2 %	17.33 ms
2.3 %	0.44 ms
2.3 %	0.36 ms
2.4 %	10.25 ms
2.5 %	0.46 ms
2.6 %	0.50 ms
2.7 %	16.38 ms
2.8 %	0.40 ms
2.8 %	11.29 ms
2.9 %	7.45 ms
2.9 %	8.96 ms
3.0 %	0.40 ms
3.0 %	10.85 ms
3.0 %	13.56 ms
3.2 %	16.96 ms
3.2 %	9.39 ms
3.2 %	8.33 ms
3.3 %	0.50 ms
3.4 %	0.51 ms
3.5 %	8.80 ms
3.5 %	9.08 ms
3.6 %	0.43 ms
3.7 %	0.34 ms
3.7 %	0.40 ms
3.8 %	22.04 ms
3.8 %	0.52 ms
3.8 %	12.77 ms
3.8 %	0.39 ms
3.8 %	13.83 ms
3.9 %	0.39 ms
3.9 %	0.60 ms
4.0 %	0.36 ms
4.1 %	0.31 ms
4.2 %	0.37 ms
4.2 %	6.77 ms
4.2 %	0.52 ms
4.3 %	0.33 ms
4.3 %	0.53 ms
4.3 %	18.53 ms
4.4 %	0.44 ms
4.4 %	7.50 ms
4.4 %	0.52 ms
4.5 %	0.35 ms
4.6 %	8.50 ms
4.7 %	12.28 ms
4.9 %	0.47 ms
5.0 %	0.34 ms
5.0 %	0.19 ms
5.1 %	0.53 ms
5.1 %	0.50 ms
5.3 %	20.59 ms
5.4 %	0.52 ms
5.4 %	0.32 ms
5.4 %	16.07 ms
5.4 %	0.34 ms
5.4 %	14.74 ms
5.4 %	1.14 ms
5.5 %	8.94 ms
5.5 %	14.87 ms
5.6 %	13.31 ms
5.6 %	9.58 ms
5.7 %	15.61 ms
5.7 %	9.27 ms
5.8 %	0.37 ms
5.8 %	9.04 ms
5.9 %	17.26 ms
6.1 %	0.37 ms
6.1 %	0.51 ms
6.3 %	8.99 ms
6.4 %	0.38 ms
6.4 %	0.36 ms
6.4 %	0.51 ms
6.5 %	14.34 ms
6.5 %	0.33 ms
6.6 %	0.46 ms
6.7 %	0.35 ms
6.7 %	19.34 ms
6.8 %	0.46 ms
6.8 %	0.47 ms
6.9 %	0.34 ms
6.9 %	0.36 ms
7.0 %	9.57 ms
7.0 %	12.63 ms
7.1 %	15.54 ms
7.1 %	0.52 ms
7.4 %	0.60 ms
7.5 %	10.40 ms
7.8 %	8.09 ms
7.8 %	0.54 ms
7.8 %	0.45 ms
7.8 %	9.76 ms
8.1 %	15.40 ms
8.1 %	7.89 ms
8.2 %	9.90 ms
8.2 %	0.30 ms
8.2 %	8.19 ms
8.2 %	0.36 ms
8.3 %	16.37 ms
8.4 %	0.41 ms
8.4 %	7.15 ms
8.5 %	0.53 ms
8.6 %	10.22 ms
8.6 %	10.92 ms
8.7 %	9.60 ms
8.7 %	0.33 ms
8.8 %	6.39 ms
8.8 %	16.13 ms
8.8 %	0.25 ms
8.9 %	0.35 ms
9.0 %	13.76 ms
9.0 %	13.27 ms
9.0 %	10.62 ms
9.0 %	9.74 ms
9.1 %	0.33 ms
9.1 %	0.42 ms
9.1 %	0.41 ms
9.4 %	0.32 ms
9.6 %	0.39 ms
9.7 %	7.83 ms
9.8 %	10.10 ms
9.8 %	0.51 ms
9.9 %	0.17 ms
9.9 %	11.82 ms
10.1 %	12.19 ms
10.1 %	13.08 ms
10.2 %	0.34 ms
10.3 %	7.82 ms
10.3 %	0.44 ms
10.3 %	0.29 ms
10.3 %	14.74 ms
10.3 %	0.46 ms
10.6 %	9.88 ms
10.8 %	12.11 ms
10.9 %	0.48 ms
10.9 %	9.52 ms
10.9 %	0.38 ms
11.0 %	0.39 ms
11.0 %	11.73 ms
11.0 %	0.50 ms
11.0 %	10.25 ms
11.1 %	0.45 ms
11.2 %	0.40 ms
11.2 %	0.46 ms
11.3 %	11.24 ms
11.5 %	0.53 ms
11.5 %	0.43 ms
11.6 %	11.22 ms
11.8 %	0.39 ms
11.9 %	15.56 ms
12.1 %	0.40 ms
12.2 %	17.21 ms
12.2 %	11.13 ms
12.3 %	0.45 ms
12.4 %	0.34 ms
12.4 %	0.46 ms
12.5 %	0.46 ms
12.5 %	0.38 ms
12.7 %	0.54 ms
12.7 %	10.30 ms
12.7 %	0.37 ms
12.9 %	0.51 ms
12.9 %	0.33 ms
13.0 %	0.41 ms
13.0 %	8.50 ms
13.0 %	0.19 ms
13.0 %	0.34 ms
13.2 %	0.44 ms
13.4 %	9.60 ms
13.4 %	18.22 ms
13.5 %	9.65 ms
13.5 %	0.36 ms
13.6 %	0.46 ms
13.6 %	0.20 ms
13.7 %	0.28 ms
13.7 %	0.18 ms
13.8 %	0.44 ms
13.8 %	0.35 ms
13.9 %	0.33 ms
14.0 %	0.35 ms
14.0 %	12.17 ms
14.0 %	10.89 ms
14.1 %	0.38 ms
14.3 %	12.93 ms
14.3 %	12.94 ms
14.3 %	10.10 ms
14.4 %	0.37 ms
14.7 %	0.33 ms
14.7 %	0.37 ms
14.9 %	0.45 ms
14.9 %	0.44 ms
15.0 %	10.16 ms
15.0 %	0.36 ms
15.1 %	0.39 ms
15.1 %	14.56 ms
15.1 %	15.84 ms
15.2 %	16.68 ms
15.2 %	10.31 ms
15.2 %	0.18 ms
15.3 %	11.20 ms
15.4 %	7.97 ms
15.5 %	0.32 ms
15.7 %	6.32 ms
15.7 %	0.39 ms
15.9 %	0.37 ms
15.9 %	0.48 ms
15.9 %	9.47 ms
16.0 %	16.52 ms
16.0 %	8.84 ms
16.0 %	0.32 ms
16.1 %	0.37 ms
16.7 %	12.21 ms
16.7 %	0.37 ms
16.7 %	0.48 ms
16.9 %	9.30 ms
16.9 %	0.41 ms
17.0 %	11.17 ms
17.2 %	7.83 ms
17.2 %	0.35 ms
17.2 %	0.53 ms
17.2 %	0.50 ms
17.2 %	8.60 ms
17.3 %	14.87 ms
17.3 %	10.03 ms
17.4 %	0.32 ms
17.5 %	16.31 ms
17.7 %	11.50 ms
