HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 34.2 MB/s
Transfer Rate Maximum : 75.4 MB/s
Transfer Rate Average : 54.2 MB/s
Position 	Transfer Rate
0.0 %	0.17 ms
0.1 %	14.17 ms
0.1 %	5.12 ms
0.2 %	5.67 ms
0.2 %	6.54 ms
0.2 %	4.38 ms
0.3 %	6.89 ms
0.3 %	5.98 ms
0.3 %	6.40 ms
0.3 %	5.71 ms
0.4 %	9.11 ms
0.4 %	13.50 ms
0.4 %	0.16 ms
0.5 %	5.80 ms
0.7 %	6.13 ms
0.8 %	4.65 ms
0.9 %	8.79 ms
1.0 %	15.99 ms
1.0 %	0.17 ms
1.1 %	4.66 ms
1.2 %	6.48 ms
1.2 %	12.45 ms
1.2 %	6.73 ms
1.3 %	4.42 ms
1.3 %	9.85 ms
1.4 %	5.87 ms
1.4 %	15.32 ms
1.5 %	5.52 ms
1.5 %	4.71 ms
1.5 %	12.85 ms
1.6 %	3.41 ms
1.7 %	6.87 ms
1.7 %	0.16 ms
1.7 %	5.72 ms
1.8 %	7.16 ms
1.8 %	5.09 ms
1.9 %	8.01 ms
1.9 %	9.86 ms
2.1 %	4.01 ms
2.1 %	13.84 ms
2.1 %	4.74 ms
2.2 %	0.16 ms
2.2 %	4.80 ms
2.3 %	4.63 ms
2.4 %	5.14 ms
2.5 %	7.74 ms
2.5 %	5.50 ms
2.5 %	7.49 ms
2.6 %	4.64 ms
2.7 %	4.57 ms
2.7 %	6.95 ms
2.7 %	6.81 ms
2.8 %	5.91 ms
2.8 %	3.58 ms
2.9 %	6.29 ms
2.9 %	0.16 ms
2.9 %	12.43 ms
3.1 %	5.61 ms
3.2 %	0.37 ms
3.3 %	6.46 ms
3.3 %	0.37 ms
3.4 %	6.39 ms
3.4 %	5.58 ms
3.4 %	6.25 ms
3.5 %	0.16 ms
3.8 %	7.89 ms
3.9 %	3.93 ms
3.9 %	4.72 ms
4.0 %	3.91 ms
4.1 %	6.80 ms
4.3 %	7.86 ms
4.3 %	8.12 ms
4.3 %	5.68 ms
4.4 %	13.05 ms
4.4 %	0.18 ms
4.5 %	4.70 ms
4.6 %	7.48 ms
4.7 %	5.33 ms
4.9 %	8.80 ms
4.9 %	7.45 ms
4.9 %	3.06 ms
4.9 %	8.53 ms
5.0 %	8.16 ms
5.1 %	5.85 ms
5.1 %	4.67 ms
5.2 %	7.35 ms
5.3 %	5.15 ms
5.4 %	5.62 ms
5.4 %	13.66 ms
5.4 %	0.18 ms
5.5 %	3.03 ms
5.5 %	0.35 ms
5.5 %	2.46 ms
5.6 %	5.81 ms
5.7 %	13.68 ms
5.8 %	0.16 ms
5.8 %	7.64 ms
5.8 %	0.33 ms
5.9 %	6.43 ms
6.0 %	0.17 ms
6.1 %	4.73 ms
6.1 %	0.16 ms
6.2 %	5.45 ms
6.2 %	7.76 ms
6.3 %	13.21 ms
6.4 %	0.29 ms
6.8 %	8.85 ms
6.8 %	0.18 ms
6.8 %	4.57 ms
6.9 %	0.16 ms
6.9 %	13.96 ms
7.0 %	6.74 ms
7.2 %	0.33 ms
7.3 %	7.64 ms
7.3 %	3.83 ms
7.3 %	4.54 ms
7.6 %	6.53 ms
7.7 %	7.75 ms
7.7 %	0.17 ms
7.9 %	4.94 ms
8.0 %	4.29 ms
8.0 %	6.56 ms
8.1 %	3.98 ms
8.2 %	0.16 ms
8.3 %	7.79 ms
8.4 %	4.93 ms
8.4 %	0.18 ms
8.6 %	4.51 ms
8.9 %	6.88 ms
9.1 %	5.94 ms
9.2 %	7.93 ms
9.2 %	13.30 ms
9.3 %	4.92 ms
9.4 %	15.10 ms
9.4 %	0.16 ms
9.5 %	4.82 ms
9.5 %	0.16 ms
9.5 %	0.16 ms
9.6 %	12.54 ms
9.7 %	0.17 ms
9.8 %	13.40 ms
9.8 %	0.17 ms
9.8 %	2.30 ms
9.9 %	8.02 ms
9.9 %	4.95 ms
10.0 %	4.82 ms
10.1 %	0.16 ms
10.1 %	4.94 ms
10.1 %	13.27 ms
10.1 %	4.24 ms
10.3 %	6.35 ms
10.4 %	4.43 ms
10.5 %	7.40 ms
10.5 %	4.27 ms
10.6 %	7.98 ms
10.7 %	4.80 ms
10.8 %	3.95 ms
10.9 %	6.43 ms
10.9 %	5.72 ms
11.1 %	5.00 ms
11.2 %	7.07 ms
11.2 %	7.35 ms
11.4 %	4.17 ms
11.4 %	0.17 ms
11.4 %	0.41 ms
11.5 %	0.18 ms
11.5 %	0.17 ms
11.5 %	0.35 ms
11.5 %	5.83 ms
11.5 %	5.64 ms
11.5 %	4.17 ms
11.6 %	0.18 ms
11.7 %	6.88 ms
11.8 %	7.81 ms
11.8 %	6.94 ms
11.8 %	6.80 ms
11.8 %	6.54 ms
12.1 %	12.17 ms
12.2 %	7.26 ms
12.2 %	4.93 ms
12.3 %	5.88 ms
12.4 %	14.09 ms
12.5 %	4.81 ms
12.5 %	5.33 ms
12.5 %	13.36 ms
12.5 %	5.52 ms
12.6 %	9.14 ms
12.6 %	6.02 ms
12.6 %	6.15 ms
12.9 %	13.12 ms
12.9 %	4.34 ms
12.9 %	3.69 ms
12.9 %	3.62 ms
13.0 %	14.72 ms
13.1 %	11.90 ms
13.2 %	0.16 ms
13.4 %	0.62 ms
13.6 %	0.17 ms
13.6 %	0.19 ms
13.7 %	0.17 ms
13.7 %	6.95 ms
13.8 %	4.09 ms
14.0 %	4.55 ms
14.3 %	9.27 ms
14.6 %	7.76 ms
14.6 %	4.82 ms
14.6 %	7.96 ms
14.6 %	4.61 ms
14.6 %	8.75 ms
14.7 %	12.43 ms
14.7 %	0.17 ms
14.8 %	6.02 ms
14.9 %	3.89 ms
14.9 %	8.45 ms
15.0 %	15.16 ms
15.1 %	14.40 ms
15.2 %	4.94 ms
15.3 %	2.58 ms
15.3 %	3.57 ms
15.4 %	3.01 ms
15.4 %	7.09 ms
15.5 %	0.15 ms
15.5 %	5.84 ms
15.5 %	0.18 ms
15.8 %	13.50 ms
15.8 %	3.85 ms
15.8 %	0.17 ms
15.9 %	0.17 ms
15.9 %	2.13 ms
15.9 %	3.34 ms
16.1 %	6.45 ms
16.1 %	1.37 ms
16.3 %	13.31 ms
16.3 %	4.39 ms
16.3 %	13.62 ms
16.6 %	4.88 ms
16.6 %	6.95 ms
16.7 %	6.26 ms
16.8 %	8.82 ms
17.0 %	7.48 ms
17.0 %	14.22 ms
17.2 %	0.16 ms
17.2 %	6.31 ms
17.3 %	8.69 ms
17.4 %	5.64 ms
17.4 %	7.53 ms
17.5 %	7.20 ms
17.5 %	13.22 ms
17.6 %	4.33 ms
17.6 %	5.11 ms
17.8 %	0.18 ms
18.1 %	16.31 ms
18.1 %	5.29 ms
18.3 %	5.03 ms
18.4 %	4.64 ms
18.6 %	6.50 ms
18.9 %	5.40 ms
19.0 %	5.66 ms
19.1 %	10.82 ms
19.3 %	0.78 ms
19.4 %	6.13 ms
19.5 %	3.49 ms
19.5 %	0.17 ms
19.7 %	6.15 ms
19.7 %	2.66 ms
19.8 %	13.46 ms
19.9 %	4.61 ms
19.9 %	4.75 ms
19.9 %	4.51 ms
20.0 %	2.92 ms
20.0 %	12.72 ms
20.0 %	8.12 ms
20.1 %	0.17 ms
20.1 %	3.86 ms
20.3 %	6.80 ms
20.5 %	9.10 ms
20.5 %	6.00 ms
20.5 %	0.16 ms
20.6 %	6.17 ms
20.8 %	0.18 ms
20.9 %	5.04 ms
21.0 %	4.59 ms
21.0 %	4.65 ms
21.0 %	0.17 ms
21.1 %	4.54 ms
21.1 %	0.17 ms
21.2 %	4.71 ms
21.2 %	0.16 ms
21.3 %	7.21 ms
21.4 %	5.41 ms
21.5 %	5.66 ms
21.5 %	3.63 ms
21.6 %	5.25 ms
21.7 %	0.34 ms
21.9 %	14.72 ms
22.1 %	12.92 ms
22.1 %	4.86 ms
22.2 %	6.13 ms
22.3 %	14.88 ms
22.3 %	5.85 ms
22.4 %	7.10 ms
22.4 %	4.81 ms
22.5 %	7.34 ms
22.5 %	0.39 ms
22.6 %	4.82 ms
22.6 %	0.17 ms
22.6 %	5.75 ms
22.6 %	8.07 ms
22.7 %	0.16 ms
22.7 %	0.17 ms
22.9 %	7.12 ms
22.9 %	4.80 ms
23.0 %	4.67 ms
23.2 %	5.29 ms
23.2 %	3.52 ms
23.2 %	15.02 ms
23.2 %	5.55 ms
23.3 %	5.51 ms
23.3 %	0.16 ms
23.4 %	0.16 ms
23.4 %	4.88 ms
23.5 %	8.85 ms
23.7 %	5.26 ms
23.8 %	5.32 ms
23.8 %	0.23 ms
24.1 %	14.00 ms
24.1 %	0.17 ms
24.2 %	0.19 ms
24.2 %	5.07 ms
24.2 %	12.69 ms
24.3 %	6.51 ms
24.4 %	7.14 ms
24.5 %	4.96 ms
24.8 %	5.64 ms
24.8 %	0.38 ms
25.0 %	14.42 ms
25.0 %	4.71 ms
25.1 %	8.97 ms
25.1 %	0.17 ms
25.1 %	5.01 ms
25.3 %	0.16 ms
25.3 %	4.99 ms
25.3 %	14.44 ms
25.4 %	7.11 ms
25.4 %	0.16 ms
25.4 %	3.30 ms
25.5 %	0.22 ms
25.6 %	5.47 ms
25.8 %	7.36 ms
25.9 %	4.23 ms
25.9 %	4.03 ms
25.9 %	7.08 ms
25.9 %	5.00 ms
25.9 %	4.82 ms
26.1 %	15.05 ms
26.3 %	15.02 ms
26.4 %	8.03 ms
26.5 %	4.51 ms
26.7 %	5.42 ms
26.7 %	6.44 ms
26.8 %	13.24 ms
26.9 %	0.18 ms
27.0 %	3.91 ms
27.0 %	6.48 ms
27.1 %	13.42 ms
27.2 %	13.18 ms
27.2 %	6.35 ms
27.3 %	14.77 ms
27.3 %	4.60 ms
27.6 %	0.17 ms
27.6 %	5.35 ms
27.6 %	6.98 ms
27.7 %	12.30 ms
27.7 %	4.79 ms
27.7 %	12.76 ms
27.8 %	13.97 ms
27.9 %	5.10 ms
28.0 %	12.30 ms
28.0 %	4.67 ms
28.0 %	14.04 ms
28.1 %	8.50 ms
28.2 %	15.30 ms
28.2 %	14.77 ms
28.3 %	4.96 ms
28.3 %	6.53 ms
28.3 %	0.17 ms
28.3 %	0.16 ms
28.4 %	0.17 ms
28.4 %	5.09 ms
28.4 %	2.49 ms
28.6 %	5.62 ms
28.8 %	0.19 ms
29.0 %	4.05 ms
29.0 %	3.23 ms
29.3 %	3.60 ms
29.5 %	4.58 ms
29.7 %	7.64 ms
30.1 %	8.04 ms
30.3 %	5.07 ms
30.3 %	6.60 ms
