HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 19.0 MB/s
Transfer Rate Maximum : 90.8 MB/s
Transfer Rate Average : 71.1 MB/s
Position 	Transfer Rate
0.3 %	14.49 ms
0.3 %	10.00 ms
0.4 %	8.06 ms
0.6 %	8.72 ms
0.6 %	6.55 ms
0.6 %	5.87 ms
0.7 %	9.74 ms
0.8 %	5.74 ms
0.8 %	11.35 ms
0.8 %	7.94 ms
0.9 %	11.71 ms
0.9 %	5.42 ms
1.0 %	9.83 ms
1.0 %	6.81 ms
1.0 %	13.93 ms
1.0 %	7.61 ms
1.1 %	15.43 ms
1.1 %	10.87 ms
1.5 %	9.77 ms
1.5 %	16.51 ms
1.6 %	4.97 ms
1.6 %	15.59 ms
1.7 %	12.10 ms
1.9 %	7.74 ms
2.0 %	14.06 ms
2.1 %	15.21 ms
2.1 %	14.21 ms
2.2 %	8.77 ms
2.2 %	6.89 ms
2.2 %	12.08 ms
2.2 %	7.08 ms
2.2 %	10.09 ms
2.2 %	6.83 ms
2.3 %	12.53 ms
2.4 %	9.67 ms
2.5 %	13.41 ms
2.5 %	14.43 ms
2.5 %	8.71 ms
2.6 %	10.01 ms
2.6 %	10.15 ms
2.7 %	13.19 ms
2.7 %	6.94 ms
2.8 %	12.13 ms
3.0 %	4.80 ms
3.0 %	8.47 ms
3.0 %	6.84 ms
3.2 %	6.97 ms
3.3 %	5.31 ms
3.3 %	5.74 ms
3.3 %	11.54 ms
3.4 %	15.08 ms
3.6 %	10.90 ms
3.7 %	10.42 ms
3.7 %	8.46 ms
3.7 %	11.75 ms
3.8 %	7.74 ms
3.8 %	13.77 ms
3.8 %	14.19 ms
3.8 %	10.22 ms
4.0 %	6.18 ms
4.0 %	11.80 ms
4.0 %	13.55 ms
4.2 %	6.24 ms
4.2 %	11.06 ms
4.3 %	8.59 ms
4.3 %	12.23 ms
4.5 %	14.39 ms
4.9 %	13.81 ms
4.9 %	16.86 ms
5.1 %	8.99 ms
5.2 %	13.65 ms
5.4 %	12.49 ms
5.8 %	8.87 ms
6.0 %	13.13 ms
6.0 %	9.88 ms
6.1 %	8.67 ms
6.1 %	12.56 ms
6.1 %	10.62 ms
6.3 %	8.78 ms
6.3 %	12.93 ms
6.4 %	11.01 ms
6.4 %	15.41 ms
6.5 %	13.49 ms
6.5 %	9.04 ms
6.7 %	14.30 ms
6.7 %	14.43 ms
6.7 %	8.00 ms
6.7 %	7.43 ms
6.8 %	11.45 ms
6.9 %	9.00 ms
6.9 %	11.92 ms
6.9 %	16.57 ms
7.0 %	14.14 ms
7.0 %	7.48 ms
7.0 %	16.79 ms
7.1 %	13.77 ms
7.2 %	11.73 ms
7.2 %	13.58 ms
7.2 %	8.03 ms
7.4 %	10.84 ms
7.8 %	16.48 ms
8.0 %	12.21 ms
8.1 %	15.02 ms
8.1 %	8.23 ms
8.1 %	10.19 ms
8.1 %	9.03 ms
8.2 %	13.15 ms
8.2 %	7.62 ms
8.3 %	16.80 ms
8.4 %	13.63 ms
8.6 %	11.36 ms
8.6 %	8.38 ms
8.8 %	10.19 ms
8.8 %	12.97 ms
8.8 %	9.43 ms
9.2 %	14.00 ms
9.2 %	15.63 ms
9.4 %	17.68 ms
9.5 %	16.22 ms
9.6 %	16.75 ms
9.6 %	15.11 ms
9.6 %	8.27 ms
9.6 %	14.81 ms
9.6 %	13.15 ms
9.6 %	12.21 ms
9.7 %	10.93 ms
9.8 %	13.76 ms
9.8 %	14.93 ms
9.8 %	15.32 ms
9.9 %	16.18 ms
9.9 %	17.24 ms
9.9 %	7.84 ms
10.0 %	15.77 ms
10.2 %	17.12 ms
10.3 %	16.39 ms
10.3 %	14.14 ms
10.4 %	14.65 ms
10.5 %	11.76 ms
10.5 %	15.03 ms
10.6 %	8.70 ms
10.6 %	12.85 ms
10.7 %	14.25 ms
10.9 %	11.96 ms
11.0 %	9.42 ms
11.0 %	7.50 ms
11.1 %	15.53 ms
11.2 %	14.56 ms
11.3 %	14.55 ms
11.3 %	17.55 ms
11.4 %	14.01 ms
11.4 %	18.50 ms
11.4 %	13.21 ms
11.4 %	8.43 ms
11.5 %	13.05 ms
11.5 %	11.33 ms
11.6 %	15.67 ms
11.6 %	16.63 ms
11.7 %	11.09 ms
11.9 %	11.74 ms
11.9 %	14.23 ms
12.0 %	12.86 ms
12.0 %	13.98 ms
12.0 %	9.51 ms
12.1 %	8.05 ms
12.1 %	17.95 ms
12.1 %	15.42 ms
12.1 %	12.90 ms
12.4 %	17.95 ms
12.5 %	12.96 ms
12.5 %	10.15 ms
12.6 %	10.80 ms
12.7 %	13.53 ms
12.9 %	15.22 ms
12.9 %	19.93 ms
12.9 %	13.61 ms
12.9 %	15.78 ms
13.0 %	11.72 ms
13.0 %	16.49 ms
13.0 %	19.17 ms
13.1 %	15.17 ms
13.2 %	12.40 ms
13.3 %	11.68 ms
13.4 %	15.70 ms
13.4 %	9.09 ms
13.4 %	17.97 ms
13.4 %	16.77 ms
13.7 %	15.42 ms
13.8 %	17.92 ms
14.2 %	14.52 ms
14.2 %	15.44 ms
14.3 %	17.33 ms
14.3 %	16.68 ms
14.3 %	14.56 ms
14.4 %	10.86 ms
14.6 %	19.90 ms
14.6 %	18.37 ms
14.6 %	11.97 ms
14.8 %	14.96 ms
14.8 %	12.24 ms
14.9 %	15.18 ms
14.9 %	11.93 ms
15.0 %	10.10 ms
15.0 %	17.37 ms
15.0 %	9.85 ms
15.1 %	15.41 ms
15.1 %	18.38 ms
15.2 %	10.99 ms
15.2 %	18.23 ms
15.3 %	14.17 ms
15.5 %	18.22 ms
15.5 %	15.71 ms
15.6 %	13.17 ms
15.7 %	14.25 ms
15.7 %	9.42 ms
15.8 %	10.17 ms
15.8 %	15.61 ms
15.9 %	20.27 ms
15.9 %	8.97 ms
16.0 %	17.60 ms
16.1 %	14.16 ms
16.2 %	16.06 ms
16.3 %	9.75 ms
16.3 %	10.08 ms
16.4 %	18.51 ms
16.5 %	11.89 ms
16.6 %	16.47 ms
16.8 %	15.85 ms
16.8 %	11.21 ms
16.8 %	17.22 ms
17.0 %	13.28 ms
17.0 %	12.97 ms
17.0 %	15.74 ms
17.1 %	13.11 ms
17.1 %	14.69 ms
17.1 %	18.74 ms
17.1 %	16.42 ms
17.1 %	19.60 ms
17.3 %	9.20 ms
17.4 %	13.97 ms
17.5 %	12.74 ms
17.6 %	11.41 ms
17.6 %	12.03 ms
17.6 %	11.65 ms
17.7 %	20.09 ms
17.9 %	15.42 ms
17.9 %	16.63 ms
17.9 %	17.54 ms
18.0 %	13.65 ms
18.1 %	17.23 ms
18.1 %	17.76 ms
18.1 %	15.16 ms
18.1 %	11.04 ms
18.3 %	12.16 ms
18.4 %	9.50 ms
18.4 %	20.14 ms
18.5 %	15.91 ms
18.6 %	14.56 ms
18.6 %	16.64 ms
18.6 %	12.08 ms
18.8 %	15.57 ms
18.8 %	15.44 ms
18.9 %	9.52 ms
19.0 %	14.67 ms
19.0 %	18.89 ms
19.0 %	15.33 ms
19.4 %	14.72 ms
19.4 %	18.23 ms
19.6 %	17.12 ms
19.7 %	18.02 ms
19.7 %	13.33 ms
19.7 %	15.24 ms
19.9 %	11.44 ms
20.0 %	12.48 ms
20.2 %	18.08 ms
20.2 %	17.10 ms
20.2 %	17.46 ms
20.6 %	9.74 ms
20.7 %	20.78 ms
20.8 %	15.64 ms
20.8 %	18.92 ms
20.8 %	13.31 ms
20.9 %	10.83 ms
21.1 %	18.50 ms
21.3 %	17.06 ms
21.3 %	19.98 ms
21.3 %	19.86 ms
21.4 %	15.44 ms
21.4 %	11.61 ms
21.4 %	18.17 ms
21.5 %	15.01 ms
21.8 %	16.12 ms
21.8 %	20.16 ms
21.8 %	10.22 ms
22.0 %	19.82 ms
22.0 %	18.89 ms
22.0 %	20.96 ms
22.4 %	20.81 ms
22.4 %	20.06 ms
22.5 %	20.31 ms
22.6 %	19.41 ms
22.7 %	16.24 ms
22.8 %	18.88 ms
22.8 %	20.83 ms
22.8 %	12.43 ms
22.9 %	16.46 ms
23.0 %	19.06 ms
23.0 %	18.82 ms
23.0 %	14.29 ms
23.1 %	20.05 ms
23.1 %	15.28 ms
23.1 %	19.44 ms
23.2 %	19.91 ms
23.3 %	13.77 ms
23.3 %	16.03 ms
23.4 %	19.21 ms
23.4 %	16.23 ms
23.5 %	17.71 ms
23.5 %	13.84 ms
23.8 %	12.01 ms
24.1 %	14.88 ms
24.1 %	18.58 ms
24.1 %	17.72 ms
24.2 %	16.60 ms
24.6 %	15.73 ms
24.8 %	19.41 ms
24.9 %	12.85 ms
24.9 %	13.08 ms
25.0 %	10.01 ms
25.0 %	18.20 ms
25.1 %	13.00 ms
25.1 %	11.63 ms
25.1 %	17.94 ms
25.2 %	10.94 ms
25.3 %	11.19 ms
25.5 %	13.28 ms
25.7 %	11.46 ms
25.7 %	11.26 ms
25.7 %	21.43 ms
25.8 %	13.67 ms
25.8 %	12.09 ms
25.8 %	15.28 ms
26.0 %	19.16 ms
26.1 %	16.19 ms
26.1 %	17.48 ms
26.2 %	19.19 ms
26.2 %	20.48 ms
26.3 %	14.60 ms
26.5 %	13.53 ms
26.5 %	16.50 ms
26.6 %	12.91 ms
26.6 %	10.81 ms
26.7 %	15.27 ms
26.8 %	16.45 ms
27.0 %	15.88 ms
27.0 %	15.23 ms
27.1 %	18.44 ms
27.2 %	18.87 ms
27.2 %	17.48 ms
27.3 %	20.83 ms
27.3 %	11.82 ms
27.5 %	20.56 ms
27.7 %	19.31 ms
28.0 %	14.13 ms
