HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 27.6 MB/s
Transfer Rate Maximum : 64.6 MB/s
Transfer Rate Average : 53.1 MB/s
Position 	Transfer Rate
0.1 %	7.06 ms
0.1 %	9.56 ms
0.4 %	7.44 ms
0.4 %	5.58 ms
0.4 %	10.46 ms
0.5 %	3.78 ms
0.6 %	4.39 ms
0.6 %	7.01 ms
0.7 %	5.28 ms
0.8 %	5.33 ms
0.9 %	9.04 ms
0.9 %	8.67 ms
0.9 %	6.12 ms
1.1 %	7.13 ms
1.2 %	6.03 ms
1.3 %	8.82 ms
1.3 %	7.81 ms
1.4 %	9.94 ms
1.4 %	12.70 ms
1.4 %	6.99 ms
1.5 %	8.01 ms
1.6 %	12.62 ms
1.9 %	7.61 ms
2.1 %	8.59 ms
2.1 %	7.34 ms
2.1 %	5.84 ms
2.2 %	6.34 ms
2.2 %	12.61 ms
2.3 %	7.53 ms
2.3 %	7.86 ms
2.4 %	8.12 ms
2.5 %	7.46 ms
2.6 %	9.63 ms
2.7 %	6.09 ms
2.8 %	8.05 ms
2.8 %	7.93 ms
2.9 %	7.79 ms
2.9 %	8.19 ms
3.0 %	10.21 ms
3.0 %	9.57 ms
3.0 %	12.47 ms
3.2 %	8.08 ms
3.2 %	10.44 ms
3.2 %	11.42 ms
3.3 %	10.79 ms
3.4 %	9.05 ms
3.5 %	9.87 ms
3.5 %	6.17 ms
3.6 %	11.73 ms
3.7 %	9.03 ms
3.7 %	11.69 ms
3.8 %	8.87 ms
3.8 %	11.46 ms
3.8 %	10.54 ms
3.8 %	13.55 ms
3.8 %	12.34 ms
3.9 %	6.11 ms
3.9 %	11.42 ms
4.0 %	7.67 ms
4.1 %	12.52 ms
4.2 %	12.67 ms
4.2 %	8.05 ms
4.2 %	11.10 ms
4.3 %	9.40 ms
4.3 %	7.41 ms
4.3 %	12.66 ms
4.4 %	6.71 ms
4.4 %	6.57 ms
4.4 %	5.94 ms
4.5 %	12.96 ms
4.6 %	5.87 ms
4.7 %	12.08 ms
4.9 %	7.25 ms
5.0 %	13.03 ms
5.0 %	10.06 ms
5.1 %	5.79 ms
5.1 %	11.77 ms
5.3 %	6.23 ms
5.4 %	13.45 ms
5.4 %	8.37 ms
5.4 %	12.08 ms
5.4 %	10.01 ms
5.4 %	8.81 ms
5.4 %	10.12 ms
5.5 %	8.41 ms
5.5 %	7.81 ms
5.6 %	12.86 ms
5.6 %	13.41 ms
5.7 %	8.62 ms
5.7 %	10.59 ms
5.8 %	11.96 ms
5.8 %	12.56 ms
5.9 %	12.71 ms
6.1 %	10.58 ms
6.1 %	6.18 ms
6.3 %	7.61 ms
6.4 %	9.02 ms
6.4 %	7.55 ms
6.4 %	10.97 ms
6.5 %	10.85 ms
6.5 %	9.89 ms
6.6 %	13.70 ms
6.7 %	10.13 ms
6.7 %	12.69 ms
6.8 %	9.23 ms
6.8 %	8.76 ms
6.9 %	6.05 ms
6.9 %	12.45 ms
7.0 %	10.71 ms
7.0 %	14.68 ms
7.1 %	8.15 ms
7.1 %	11.13 ms
7.4 %	10.47 ms
7.5 %	8.77 ms
7.8 %	12.71 ms
7.8 %	13.02 ms
7.8 %	10.26 ms
7.8 %	13.55 ms
8.1 %	8.27 ms
8.1 %	8.67 ms
8.2 %	6.54 ms
8.2 %	10.94 ms
8.2 %	8.78 ms
8.2 %	6.20 ms
8.3 %	8.37 ms
8.4 %	10.14 ms
8.4 %	14.38 ms
8.5 %	13.90 ms
8.6 %	10.82 ms
8.6 %	13.41 ms
8.7 %	7.50 ms
8.7 %	14.68 ms
8.8 %	14.78 ms
8.8 %	13.67 ms
8.8 %	11.67 ms
8.9 %	14.36 ms
9.0 %	11.12 ms
9.0 %	14.55 ms
9.0 %	9.52 ms
9.0 %	10.46 ms
9.1 %	14.76 ms
9.1 %	10.97 ms
9.1 %	7.03 ms
9.4 %	12.80 ms
9.6 %	11.77 ms
9.7 %	9.76 ms
9.8 %	8.89 ms
9.8 %	7.75 ms
9.9 %	12.11 ms
9.9 %	12.00 ms
10.1 %	11.40 ms
10.1 %	14.27 ms
10.2 %	14.61 ms
10.3 %	13.78 ms
