HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 16.9 MB/s
Transfer Rate Maximum : 95.1 MB/s
Transfer Rate Average : 73.7 MB/s
Position 	Transfer Rate
0.3 %	4.28 ms
0.3 %	18.79 ms
0.4 %	5.39 ms
0.6 %	19.09 ms
0.6 %	10.86 ms
0.6 %	5.64 ms
0.7 %	5.60 ms
0.8 %	5.79 ms
0.8 %	5.11 ms
0.8 %	5.31 ms
0.9 %	6.17 ms
0.9 %	6.79 ms
1.0 %	0.09 ms
1.0 %	0.34 ms
1.0 %	5.71 ms
1.0 %	6.98 ms
1.1 %	7.52 ms
1.1 %	6.13 ms
1.5 %	6.41 ms
1.5 %	5.70 ms
1.6 %	0.09 ms
1.6 %	9.07 ms
1.7 %	6.82 ms
1.9 %	5.67 ms
2.0 %	6.11 ms
2.1 %	7.12 ms
2.1 %	6.91 ms
2.2 %	7.34 ms
2.2 %	4.87 ms
2.2 %	6.58 ms
2.2 %	4.23 ms
2.2 %	4.27 ms
2.2 %	7.18 ms
2.3 %	0.09 ms
2.4 %	8.88 ms
2.5 %	6.00 ms
2.5 %	6.01 ms
2.5 %	7.79 ms
2.6 %	5.30 ms
2.6 %	5.26 ms
2.7 %	0.09 ms
2.7 %	5.20 ms
2.8 %	0.09 ms
3.0 %	0.09 ms
3.0 %	5.12 ms
3.0 %	0.09 ms
3.2 %	5.82 ms
3.3 %	0.10 ms
3.3 %	5.65 ms
3.3 %	3.69 ms
3.4 %	6.80 ms
3.6 %	5.16 ms
3.7 %	0.11 ms
3.7 %	6.55 ms
3.7 %	5.64 ms
3.8 %	18.24 ms
3.8 %	6.70 ms
3.8 %	0.09 ms
3.8 %	5.31 ms
4.0 %	15.61 ms
4.0 %	6.86 ms
4.0 %	5.33 ms
4.2 %	5.66 ms
4.2 %	6.31 ms
4.3 %	8.54 ms
4.3 %	0.10 ms
4.5 %	3.54 ms
4.9 %	3.73 ms
4.9 %	6.39 ms
5.1 %	6.13 ms
5.2 %	6.74 ms
5.4 %	5.37 ms
5.8 %	8.69 ms
6.0 %	5.11 ms
6.0 %	5.35 ms
6.1 %	0.09 ms
6.1 %	17.21 ms
6.1 %	19.05 ms
6.3 %	4.91 ms
6.3 %	4.45 ms
6.4 %	4.47 ms
6.4 %	6.96 ms
6.5 %	7.05 ms
6.5 %	7.48 ms
6.7 %	4.18 ms
6.7 %	7.21 ms
6.7 %	0.70 ms
6.7 %	6.05 ms
6.8 %	5.99 ms
6.9 %	5.59 ms
6.9 %	9.57 ms
6.9 %	7.81 ms
7.0 %	7.96 ms
7.0 %	5.68 ms
7.0 %	7.91 ms
7.1 %	0.10 ms
7.2 %	4.90 ms
7.2 %	8.06 ms
